stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-6484375.0,1,0,-20.128935393827785,-19.192034817401048
pre-PA,-6484375.0,0,1,-12.910475226539372,101.92965025289564
pre-PA,-6484375.0,1,1,0.0,0.0
pre-PA,-6445312.5,0,0,0.0,0.0
pre-PA,-6445312.5,1,0,-20.127145476989106,-19.290671256927798
pre-PA,-6445312.5,0,1,-12.907434617568054,101.49536864034157
pre-PA,-6445312.5,1,1,0.0,0.0
pre-PA,-6406250.0,0,0,0.0,0.0
pre-PA,-6406250.0,1,0,-20.125342826527913,-19.38926957718502
pre-PA,-6406250.0,0,1,-12.904424202753454,101.06105481139407
pre-PA,-6406250.0,1,1,0.0,0.0
pre-PA,-6367187.5,0,0,0.0,0.0
pre-PA,-6367187.5,1,0,-20.123527434546332,-19.48783073755375
pre-PA,-6367187.5,0,1,-12.901443979254164,100.62670910560799
pre-PA,-6367187.5,1,1,0.0,0.0
pre-PA,-6328125.0,0,0,0.0,0.0
pre-PA,-6328125.0,1,0,-20.121699293827007,-19.586355697637863
pre-PA,-6328125.0,0,1,-12.8984939442479,100.19233186215955
pre-PA,-6328125.0,1,1,0.0,0.0
pre-PA,-6289062.5,0,0,0.0,0.0
pre-PA,-6289062.5,1,0,-20.119858397833884,-19.68484541723045
pre-PA,-6289062.5,0,1,-12.895574094931648,99.75792341985048
pre-PA,-6289062.5,1,1,0.0,0.0
pre-PA,-6250000.0,0,0,0.0,0.0
pre-PA,-6250000.0,1,0,-20.11800474071294,-19.783300856280125
pre-PA,-6250000.0,0,1,-12.892684428521797,99.32348411711196
pre-PA,-6250000.0,1,1,0.0,0.0
pre-PA,-6210937.5,0,0,0.0,0.0
pre-PA,-6210937.5,1,0,-20.11613831729292,-19.881722974857407
pre-PA,-6210937.5,0,1,-12.889824942254297,98.88901429200854
pre-PA,-6210937.5,1,1,0.0,0.0
pre-PA,-6171875.0,0,0,0.0,0.0
pre-PA,-6171875.0,1,0,-20.114259123085915,-19.980112733120983
pre-PA,-6171875.0,0,1,-12.886995633384782,98.45451428224213
pre-PA,-6171875.0,1,1,0.0,0.0
pre-PA,-6132812.5,0,0,0.0,0.0
pre-PA,-6132812.5,1,0,-20.112367154288002,-20.078471091283923
pre-PA,-6132812.5,0,1,-12.884196499188715,98.0199844251561
pre-PA,-6132812.5,1,1,0.0,0.0
pre-PA,-6093750.0,0,0,0.0,0.0
pre-PA,-6093750.0,1,0,-20.11046240777974,-20.176799009579927
pre-PA,-6093750.0,0,1,-12.881427536961516,97.58542505773899
pre-PA,-6093750.0,1,1,0.0,0.0
pre-PA,-6054687.5,0,0,0.0,0.0
pre-PA,-6054687.5,1,0,-20.108544881126683,-20.27509744822948
pre-PA,-6054687.5,0,1,-12.87868874401872,97.15083651662874
pre-PA,-6054687.5,1,1,0.0,0.0
pre-PA,-6015625.0,0,0,0.0,0.0
pre-PA,-6015625.0,1,0,-20.106614572579783,-20.37336736740604
